#TAG,Program,Short description of the program
,vim,"the best text editor of all time"
,neovim,"improved version of vim"
,zathura,"minimal pdf viewer"
,zathura-pdf-mupdf,"support for pdf files"
,nsxiv,"an image viewer"
,mpv,"media/video player"
,fff,"the fucking fast file-manager"
,gimp,"image editing program"
,xdotool,"bind commands to keypresses"
,xwallpaper,"sets the wallpaper"
,rofi,"an application launcher aside from dmenu"
,firefox,"a browser by Mozilla"
G,https://github.com/x1nigo/dotfiles.git,"my configuration files"
G,https://github.com/x1nigo/bsdfiles.git,"my bsd specific files"
